"numero.granos","numero.piezas","longitud.objetivo","bombeo1","bombeo2","bombeo3","presion1","presion2","presion3","suciedad.molde","temperatura1","temperatura2","tiempo.solido","quimico1","quimico2","quimico3","quimico4","quimico5","quimico6","defecto"
0.181818181818182,0.2,0.25,0.696561024949427,0.0778267115848662,0.315436241610738,0.654377880184332,0.821917822535924,0.580384193316812,0.0099009900990099,0.56140350877193,0.578947368421053,0.133997330321388,0,0.412607449856734,0.207792207792208,0.184090909090909,0.55,0.001,0
0.363636363636364,0.6,0.0625,0.797707349966285,0.016152693643915,0.282837967401726,0.288594470046083,0.715981761566261,0.696663314101466,0.752475247524752,NA,NA,0.161033750108604,0.4,0.727793696275072,0.233766233766234,0.843181818181818,0.7,0.001,0
0.0909090909090909,0.2,0.395833333333333,0.696561024949427,0.0719529742510177,0.315436241610738,0.539170506912442,0.806392701142761,0.610717881192291,0.702970297029703,NA,NA,0.1406952222231,0,0.406876790830946,0.350649350649351,0.0681818181818182,0.5,0.001,0
1,1,0,0.622387053270398,0.0290748821687116,0,0.711981566820276,0.508675823624071,0.105156738028067,0.732673267326733,0.368421052631579,0.385964912280702,0.193685973129448,0,0.699140401146132,0.207792207792208,0.890909090909091,0.55,0.001,0
0,0,1,0.828725556304788,0.0778267115848662,0.435282837967402,0.752304147465438,0.872146151331828,0.15065722162722,0.297029702970297,NA,NA,0.175274668857172,0,0.421203438395415,0.0909090909090907,0.1,0.8,0.001,0
0,0,0.8125,0.865138233310856,0.0778267115848662,0.411313518696069,0.711981566820276,0.808219139904197,0.603134483330453,0.603960396039604,0.614035087719298,0.526315789473684,0.511314540270285,0,0.409742120343839,0.202597402597403,0.204545454545455,0.45,0,1
0,0,1,0.833445718138908,0.0748898429179436,0.433365292425695,0.688940092165899,0.919634778438808,0.149646124412207,0.702970297029703,0.894736842105263,0.929824561403509,0.155662799055344,0,0.426934097421204,0.137662337662337,0.102272727272727,0.55,0.001,0
0.181818181818182,0.4,0.135416666666667,0.730276466621713,0.142437598192743,0.203259827420901,0.740783410138249,0.762557125745747,0.322548039231499,0.792079207920792,0.56140350877193,0.596491228070175,1,0,0.624641833810888,0.394805194805195,0.631818181818182,0.6,0.001,0
0.272727272727273,0.6,0.0625,1,0.145374410843553,0.0757430488974113,1,0.703196428955572,0.944388254966304,0.663366336633663,0.403508771929825,0.368421052631579,0.201426461412086,0,0.630372492836676,0.464935064935065,0.906818181818182,0.25,0.001,0
0.272727272727273,0.4,0.135416666666667,0.865138233310856,0.079882502846879,0.327900287631831,0.711981566820276,0.974429247685074,0.15065722162722,0.435643564356436,0.403508771929825,0.456140350877193,0.1769491418326,0,0.673352435530086,0.449350649350649,0.609090909090909,0.5,0.001,1
